size,weight,init_mature,init_immature,surv_sel,fish_sel,prob_maturing,prop_rec,prob_maturing_alt
27.5,7.66E-06,6.611944866,65754.33512,0.114051,1.52E-07,0.006121559,0.155832,0
32.5,1.29E-05,27.79213665,75799.72273,0.219529,4.14E-07,0.010636468,0.35026,0
37.5,2.00E-05,116.8187001,106970.763,0.3657,1.13E-06,0.018481315,0.26151,0
42.5,2.95E-05,490.988514,164740.4651,0.513461,3.09E-06,0.032062209,0.140803,0
47.5,4.17E-05,2061.585793,218596.277,0.622097,8.42E-06,0.05458478,0.0646232,0
52.5,5.68E-05,8534.657679,204920.1888,0.684708,2.30E-05,0.087532771,0.0269728,1
57.5,7.53E-05,28032.52236,167798.2759,0.715846,6.28E-05,0.127876195,0,1
62.5,9.75E-05,63023.32066,128451.6958,0.730198,0.00017151,0.168796516,0,1
67.5,0.000123688,97587.20981,113869.6947,0.73658,0.000468197,0.198728373,0,1
72.5,0.000154329,117497.3621,100696.1246,0.739374,0.00127746,0.221444032,0,1
77.5,0.000189739,122878.8558,67418.59232,0.740587,0.00348064,0.236577055,0,1
82.5,0.000230279,120462.9424,53013.83542,0.741113,0.00944778,0.234254444,0,1
87.5,0.000276313,117829.8758,62851.78262,0.741341,0.0253855,0.235831202,0,1
92.5,0.000328208,113456.0911,43495.04268,0.741439,0.0664145,0.278872575,0,1
97.5,0.000386333,97531.89055,10601.46029,0.741481,0.162735,0.41198118,0,1
102.5,0.000451057,69675.4198,2936.913062,0.7415,0.347071,0.715994801,0,1
107.5,0.000522754,36068.20442,1114.943007,0.741508,0.5931,0.999999998,0,1
112.5,0.000601796,14573.77642,569.842359,0.741511,0.801052,1,0,1
117.5,0.000688561,5002.250995,354.6196962,0.741513,0.919059,1,0,1
122.5,0.000783424,1562.766297,250.6390002,0.741513,0.971469,1,0,1
127.5,0.000886766,468.6527483,196.7824715,0.741514,0.992189,1,0,1
132.5,0.000998966,139.1654847,173.5607682,0.741514,1,1,0,1
